title,artist,image_url,image_path,inventory,date,type,technique,dimensions,subject,school,room,description
"Codice Atlantico (Codex Atlanticus), f. 1 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-1-recto-1024x715.jpg,"ambrosiana_images/Codice_Atlantico_(Codex_Atlanticus),_f._1_recto.jpg",,c. 1500 - 1504,Drawing,,,,,Sala Federiciana,On the left: sixteen cannons mounted on a revolving system; on the right: a cart equipped with with an instrument to measure the distance covered.
The Madonna and Child with a Worshipper,Bernardino Betti detto il Pinturicchio (1454-1513),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bernardino-Betti-detto-il-Pinturicchio-Madonna-con-il-Bambino-e-devoto-804x1024.jpg,ambrosiana_images/The_Madonna_and_Child_with_a_Worshipper.jpg,,c. 1500 - 1510,Painting,,85 × 66 cm,Sacred art,,2,"The subject of the painting unfolds on three levels: a glory of angels at the top; Mary at the centre, offering the Child blessing; and, at the bottom left, the donor in the customary position of worship, shown in profile and kneeling with his cap in hand, while he receives the blessing. Traces of a second donor, symmetrical to the first one, emerged at the bottom right during recent restoration work. This detail is confirmed by the scene that appears to the left of the Virgin and Child: through a rocky arch we see an urban landscape in the background and, in front of this, two Christian knights being attacked by a Turk on horseback. The entire painting can thus probably be considered as a sort of votive offering for salvation from an attack: unfortunately, due to the damage caused to the painted surface, the portrait of only one of the two donors has survived."
Octagonal casket,Bottega degli Embriachi (XIV-XV secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bottega-degli-Embriachi-Cofanetto-con-storie-di-Piramo-e-Tisbe-786x1024.jpg,ambrosiana_images/Octagonal_casket.jpg,,c. 1500 - 1510,Object,,40 × 32 cm,,,8,"This precious octagonal casket with a pyramidal lid, made of carved ebony, ivory and bone, is the work of the famous workshop of the Embriachi family, the founder of which, Baldassare, is famous as the creator of the ivory reredos of the Charterhouse of Pavia. The lid bears carved allegories of the virtues, alternating with the crests of the patrons, while on the side we find lively scenes taken from mythological tales with amorous subjects. This casket was probably made as a gift to seal a nuptial pact and was designed for use as a coffer for jewellery."
Orrery,Sconosciuto,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Sconosciuto-Planetolabio-887x1024.jpg,ambrosiana_images/Orrery.jpg,,c. 1500 - 1510,Object,,42 cm,,,8,"Probably made in Germany, this is a very special type of astrolabe, which made it possible to determine the position of the planets at any time during the year. In actual fact, this was not so much an astronomical instrument as an astrological one, for it was used to compile horoscopes based on the position of the planets in relation to the zodiac."
"Atlantic Codex  (Codex Atlanticus), f. 116 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-116-recto-1024x686.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._116_recto.jpg",,c. 1502 - 1503,Drawing,,,,,Sala Federiciana,Plan of a fortress with moat and walls.
"Atlantic Codex  (Codex Atlanticus), f. 3 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-3-recto-1024x612.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._3_recto.jpg",,c. 1503 - 1505,Drawing,,,,,Sala Federiciana,"Gru, scavatrice."
"Atlantic Codex  (Codex Atlanticus), f. 4 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-4-recto-1024x709.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._4_recto.jpg",,c. 1503 - 1505,Drawing,,,,,Sala Federiciana,Drawing of digging machine.
"Atlantic Codex  (Codex Atlanticus), f. 72 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-72-recto-1024x713.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._72_recto.jpg",,c. 1503 - 1504,Drawing,,,,,Sala Federiciana,On the right: sketch of a bombing with study of the projectiles’ trajectories. On the right: study of a rearing horse for the Battle of Anghiari.
"Atlantic Codex  (Codex Atlanticus), f. 845 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-845-recto-803x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._845_recto.jpg",,c. 1505,Drawing,,,,,Sala Federiciana,"Studies on the flight of birds, five drawings depicting the trajectories traced by birds when flying."
"Atlantic Codex  (Codex Atlanticus), f. 117 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-117-recto.-1024x503.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._117_recto.jpg",,c. 1507 - 1510,Drawing,,,,,Sala Federiciana,Fortress.
Atlantic Codex (Codex Atlanticus) f. 199 verso,Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-199-verso-755x1024.jpg,ambrosiana_images/Atlantic_Codex_(Codex_Atlanticus)_f._199_verso.jpg,,c. 1507 - 1510,Drawing,,,,,Sala Federiciana,In the upper part: plan of the city of Milan with its gates; in the lower part: bird’s eye view of the city.
"Codice Atlantico (Codex Atlanticus), f. 104 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-104-recto-718x1024.jpg,"ambrosiana_images/Codice_Atlantico_(Codex_Atlanticus),_f._104_recto.jpg",,c. 1508,Drawing,,,,,Sala Federiciana,Studies of buildings with central layout and studies on light and shade.
"Atlantic Codex  (Codex Atlanticus), f. 663 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-663-recto-1024x718.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._663_recto.jpg",,c. 1508,Drawing,,,,,Sala Federiciana,A flower of asphodelus and a note on the usefulness of glasses.
The School of Athens,Raffaello Sanzio (1483-1520),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Raffaello-Sanzio-La-Scuola-di-Atene-cartone-preparatorio-1024x355.jpg,ambrosiana_images/The_School_of_Athens.jpg,,1509,Drawing,,285 × 804 cm,Preliminary cartoon,,5,"This drawing is certainly one of the most precious artworks in the collection and in the city of Milan. It is the largest renaissance cartoon that has survived to this day, and was made by Raphael as a preparatory work for the Stanza della Segnatura in the Vatican, which was commissioned by Julius II. It entered Federico Borromeo’s collection in 1626, when he purchased it from the widow of Fabio Borromeo Visconti for the massive sum of six hundred imperial lire, even though it had actually been on loan to the Ambrosiana since 1610. Although it is known as The School of Athens, the more exact title is Philosophy, as suggested by the allegory of the same subject painted on the vault above the fresco in the Stanza della Segnatura, as part of a very complex iconographic project. At the centre we see the two greatest philosophers, Plato (painted with the likeness of Leonardo, with his finger pointing upwards and identifiable by the Timaeus he is holding, one of his works that had enormous influence on later philosophy) and Aristotle, who is identified by his book of Ethics."
Portrait of a Young Man,Giorgione (Giorgio da Castelfranco copia da) (1478 circa-1510),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Copia-da-Giorgione-Ritratto-di-giovane-854x1024.jpg,ambrosiana_images/Portrait_of_a_Young_Man.jpg,,c. 1510 - 1520,Painting,,23 × 20 cm,Portrait,,4,"In the documents that record the donation of this painting by Cardinal Federico, it is attributed to Andrea del Sarto and is said to show the young Christ or the young Saviour with a ball in his hand. More recently, art historians have tended to see in this painting a good copy from an original by Giorgione that is unfortunately now lost. The sitter would appear to exclude the idea that this is a religious subject, and it has been suggested that it might be the young Paris holding a golden ball, alluding to the famous golden apple of mythology, or quite simply an anonymous page with youthful, almost childish features."
Christ Resurrected,Marco Basaiti (1470-1530),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Marco-Basaiti-Cristo-risorto-666x1024.jpg,ambrosiana_images/Christ_Resurrected.jpg,,c. 1510,Painting,,106 × 69 cm,Sacred art,,2,"The painting shows the resurrected Christ in the foreground. He is sitting on a rocky spur with his sides covered by the shroud in which he had been wrapped, and with his right hand he points to the wound in his ribs. In his left hand he holds the banner of Easter victory (the white flag with a red cross). The rock he is seated on bears, to the left, a Latin inscription which takes from a phrase from the apostle Paul’s Epistle to the Romans, making the words those of our Lord after the resurrection. It acts as a caption for this painting: “Death shall have no dominion over me”."
The Assumption of the Virgin,Giovanni Agostino da Lodi (1467-1524 circa),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Agostino-da-Lodi-Assunzione-della-Vergine-537x1024.jpg,ambrosiana_images/The_Assumption_of_the_Virgin.jpg,,c. 1510 - 1520,Painting,,195 × 100 cm,Sacred art,,9,"This Assumption is a late work by Agostino da Lodi, when the painter was living and working in Milan. The painting was probably the main panel in a polyptych for an altar, of which unfortunately no other elements remain. The pose of the Virgin is curious, and she is shown sitting rather than standing, as was more common in art at the time. It is interesting to note the apostle Thomas, shown standing on Mary’s right, holding a belt: according to one very ancient story, the Virgin returned from heaven to give the incredulous Thomas her own belt as proof of her assumption into heaven."
The Triumph of David,Lucas Hugenszoon detto Luca di Leida (1494-1533),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Luca-di-Leida-Trionfo-di-David-817x1024.jpg,ambrosiana_images/The_Triumph_of_David.jpg,,c. 1510 - 1533,Object,,23.5 × 18.7 cm,Sacred art,,7,"“Of the work in crystal… I should like to mention the author, just as I should like to inform you of the nature and origin of this form of painting. But I have not been able to discover who painted it, nor how it was that painting on crystal first started”, writes the Cardinal in his Musaeum. We do not know if this painting on glass is the one described by Federico, but we can say that art historians today have identified it as the work of the great Dutch artist Lucas van Leyden. The work shows the young David, accompanied by the chants of women, as he carries the head of Goliath, stuck onto his own enormous sword, in triumph. The story of the duel between David and Goliath appears in the First Book of Samuel (Sam 1:17)."
The Madonna and Child with Saint John the Evangelist and Saint John the Baptist,Marco d’Oggiono (1470-1525),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Marco-d-Oggiono-Madonna-con-il-Bambino-San-Giovanni-Evangelista-e-San-Giovanni-Battista-1024x722.jpg,ambrosiana_images/The_Madonna_and_Child_with_Saint_John_the_Evangelist_and_Saint_John_the_Baptist.jpg,,c. 1510 - 1520,Triptych,,Pannello centrale 148 × 70 cm; pannelli laterali 148 × 62 cm,Sacred art,,3,"From the church of San Sepolcro, where it was taken in the second half of the eighteenth century, after the destruction of its original home in San Mattia alla Moneta (Piazza Cordusio), the triptych shows the Madonna and Child with Saint John the Evangelist and Saint John the Baptist in an arcade in the open. The construction cannot but recall the beautiful sacristy with paintings by Bergognone in Santa Maria della Passione. If we look carefully at the Virgin’s pedestal, we can see it consists of a monochrome triptych with, from left to right, Adam, the expulsion of Adam and Eve from the Garden of Eden, and Eve picking the fruit from the tree at the centre of the garden. The choice of subject is not coincidental, for it portrays Mary and Joseph as the new Eve and the new Adam, in accordance with the words of Saint Paul: “For as by the disobedience of one man [Adam], many were made sinners: so also by the obedience of one [Jesus], many shall be made just” (Epistle to the Romans, 5:18)."
Head of Christ the Redeemer,Gian Giacomo Caprotti detto Salai (1480-1524),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Gian-Giacomo-Caprotti-detto-Andrea-Salai-Testa-Cristo-Redentore-696x1024.jpg,ambrosiana_images/Head_of_Christ_the_Redeemer.jpg,,1511,Painting,,57.5 × 37.5 cm,Sacred art,,Aula Leonardi,"This is the latest donation received by the Ambrosiana, under the heading Il Caprotti di Caprotti. At the bottom right-hand corner of the panel a date (1511) and an inscription, with the name “Salai”, are clearly visible: this was the nickname given by Leonardo da Vinci to one of his favourite pupils, Gian Giacomo Caprotti, who was often used as a model in his master’s studio. Critics discuss about whether or not this is the artist’s signature on the painting (which would thus be attributed to Caprotti), or if this is a portrait of Salai, who would thus have lent his face as a model for the work. In any case, this panel depicts a religious subject (the face of Christ the Redeemer), as indicated by three iconographic signs which, as though forming a cross, appear behind the head, suggesting a sort of halo of the Trinity."
"Atlantic Codex  (Codex Atlanticus), f. 71 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-71-recto-747x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._71_recto.jpg",,c. 1485 - 1490,Drawing,,,,,Sala Federiciana,Self-supporting military bridge.
"Atlantic Codex  (Codex Atlanticus), f. 272 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-272-verso-690x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._272_verso.jpg",,c. 1513,Drawing,,,,,Sala Federiciana,Plan of the Castle of Porta Giovia among studies of lunulae.
"Atlantic Codex  (Codex Atlanticus), f. 12 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-12-recto-1024x478.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._12_recto.jpg",,c. 1514 - 1516,Drawing,,,,,Sala Federiciana,Machine to produce ropes.
"Atlantic Codex  (Codex Atlanticus), f. 455 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-455-recto-1024x677.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._455_recto.jpg",,c. 1514 - 1515,Drawing,,,,,Sala Federiciana,Geometrical drawings dealing with the transformation of curvilinear into linear surfaces and vice-versa.
The Madonna Nursing the Child by the Fountain,Bernaert van Orley (1488-1541),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bernaert-van-Orley-Vergine-alla-fontana-o-Madonna-che-allatta-il-Bambino-presso-una-fontana-815x1024.jpg,ambrosiana_images/The_Madonna_Nursing_the_Child_by_the_Fountain.jpg,,c. 1515,Painting,,67 × 52 cm,Sacred art,,21,"This exquisite panel by Bernaert van Orley was probably made in about 1516. It shows the Madonna nursing the Child and it has a wealth of symbolic elements. In art history, the wall and the fountain are a reference to the Canticle of Canticles – “My sister, my spouse, is a garden enclosed, a garden enclosed, a fountain sealed up” (Ct 4: 12) – and symbolise the fertile virginity of Mary; the steps behind her indicate that, for the believer, the Virgin is the chosen means that leads to Heaven. Also, between the fountain and the wall, we see blue irises, which recall the Marian title of “Queen of Heaven”, and white lilies, which symbolise the “Mother most pure” and the “Mother most chaste”, as referred to in the Loreto Litanies. In the background on the right, there is a building and the figure of Joseph, and on the left, in lush, peaceful vegetation, we see some men and animals, the symbolism of which is however not clear."
The Adoration of the Magi,Maestro del Santo Sangue (XVI secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Maestro-del-Santo-Sangue-Adorazione-dei-Magi-1-1024x735.jpg,ambrosiana_images/The_Adoration_of_the_Magi.jpg,,c. 1515 - 1520,"Painting,Triptych",,Pannello centrale 98 × 71 cm; pannelli laterali: 97 × 32 cm,Sacred art,,21,"The triptych shows the Adoration of the Magi: the scene is divided exactly into two parts by a column, on which we see a candelabra decoration; two Magi, at the centre, offer their gifts to the Child; on the left, the third Magus waits to make his offering while a man behind him, probably the patron, looks out at the viewer. On the right wing, even though the absence of any break in continuity of the scene might suggest the presence of Joseph, there is a man in pilgrim’s attire, who is possibly Saint James the Apostle. Scholars still do not entirely agree on the authorship of this work, which is attributed to the so-called “Master of the Holy Blood”, an artist in whom we find the influence of Quentin Massys."
The Madonna Enthroned with Saint Ambrose and Saint Michael,Bartolomeo Suardi detto il Bramantino (1465-1530),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bartolomeo-Suardi-detto-il-Bramantino-Madonna-in-trono-con-il-Bambino-1024x733.jpg,ambrosiana_images/The_Madonna_Enthroned_with_Saint_Ambrose_and_Saint_Michael.jpg,,c. 1515 - 1520,Painting,,122 × 157 cm,Sacred art,,3,"Painted probably towards the end of the 1510s, this panel clearly shows the profound impression that Leonardo’s Last Supper had on Bramantino, as we can see in the monumental composition of the work. The painting is extremely interesting also in terms of its symbolism: the Madonna enthroned has the Child on her knees, in the act of handing a stylised palm to Saint Ambrose, who is identified by the mitre at his feet and by the scourge resting on the throne. The palm is a reward for his victory over Arianism through his pastoral actions and writings. This is symbolised by the corpse of Arius, shown in a daring foreshortening at the foot of the Milanese prelate. On the right is the Archangel Saint Michael, whose emblems – the scales and the sword – rest one on the throne and the other on the predella, and who is shown handing the animula, the symbol of a dead soul, to the Infant Jesus. The frog lying dead on its back at his feet symbolises malignity defeated."
Christ on the Way to Calvary,Giovanni Busi detto Cariani (1480-1547),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Busi-detto-Cariani-Salita-di-Cristo-al-Calvario-1024x741.jpg,ambrosiana_images/Christ_on_the_Way_to_Calvary.jpg,,c. 1515 - 1525,Painting,,63 × 87 cm,Sacred art,,10,"Packed with people, soldiers and commoners, the scene shows the moment when Jesus, crushed by the weight of the cross, is consoled by Veronica, who is said by tradition to have dried his face with a cloth. On the right, the Virgin Mother faints into the arms of the pious women, with John the apostle, portrayed young and wrapped in a white mantle, next to her."
Lesenes and trophies,Agostino Busti detto il Bambaia (1483-1548),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Agostino-Busti-detto-il-Bambaia-Rilievi-del-monumento-sepolcrale-di-Gaston-de-Foix-823x1024.jpg,ambrosiana_images/Lesenes_and_trophies.jpg,,c. 1516 - 1517,Sculpture,,96 × 29.5 × 11 cm,Arte funeraria,,22,"These two pilaster strips formed part of the majestic monument that Bambaia carved to commemorate Gaston de Foix, the young commander of the French troops and the nephew of King Louis XII, who died in Ravenna in 1512. Originally placed in the church of Santa Maria in Milan, it was carved between 1516 and 1517, but was immediately dismembered: as well as in the Ambrosiana, parts of the monument are now in the Castello Sforzesco in Milan, in the Victoria and Albert Museum in London, in the Collezione Borromeo, in the Musée Jacquemart-André in Paris, in the Museo Civico in Turin and in the Prado in Madrid. These two lesenes are a perfect example of the truly superlative art of Bambaia, who managed to create high reliefs with figures and objects brought fully into the round."
"Atlantic Codex  (Codex Atlanticus), f. 307 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-307-verso-702x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._307_verso.jpg",,c. 1517,Drawing,,,,,Sala Federiciana,Representation of the last part of the “ludo geometrico” (openwork pattern of stars and roses).
Daggers with sheath (eared sfondagiaco dagger),Milanese Gunsmiths,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Due-Pugnali-con-custodia-armorari-milanesi-1024x382.jpg,ambrosiana_images/Daggers_with_sheath_(eared_sfondagiaco_dagger).jpg,,c. 1520,Object,,295 x 36 cm; 169 × 20 cm,,,8,"The sfondagiaco is a rare type of dagger, with a robust blade and a very sharp tip, capable of perforating chainmail and sliding between metal armour plates. The handle of this dagger is elegantly decorated with gilding and diamonds and the ribbon that is wound around the ears bears the second verse of Psalm 31 (30): IN TE DOMIN[E] SPERAVI / ET NON CONFUNDAR IN [AETERNUM] (“In thee, O Lord, have I hoped, let me never be confounded”). Tradition has it that this was the weapon used by Andrea Lampugnani to kill Galeazzo Sforza at the doors of the church of Santo Stefano on 26 December 1476, but this is refuted by the date attributed to the dagger by experts."
The Holy Family with Saints Anne and John,Bernardino Luini (1480-1532),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bernardino-Luini-Sacra-Famiglia-con-Sant-Anna-e-San-Giovannino-813x1024.jpg,ambrosiana_images/The_Holy_Family_with_Saints_Anne_and_John.jpg,,c. 1520 - 1530,Painting,,118 × 92 cm,Sacred art,,1,"This artwork was one of Cardinal Federico’s favourites, and he wanted it to be shown very prominently in the Ambrosiana collection. In his treatise Musaeum published in 1625, a fundamental document for the history of the original collection, Borromeo himself stated that the model for this panel was the cartoon by Leonardo, now in the National Gallery in London, from which Luini possibly made a partial tracing. To the composition made by the Tuscan genius, Luini added the figure of Saint Joseph to the left of the Virgin."
Saint John the Baptist,Gian Giacomo Caprotti,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Gian-Giacomo-Caprotti-detto-Salai-San-Giovanni-Battista-706x1024.jpg,ambrosiana_images/Saint_John_the_Baptist.jpg,,c. 1520,Painting,,73 × 50.9 cm,Sacred art,,Aula Leonardi,"Also this painting has a troubled history of attributions: it was originally considered to be by Bernardino Luini, and then even by Leonardo, before being attributed to Leonardo’s most wayward and daring follower, Gian Giacomo Caprotti, called Salai (or Salaino), a name of Arabic origin which is said to mean “little devil”. Art historians today do not commit themselves, talking generically of a Leonardesque painter in the first quarter of the Cinquecento. The artist undoubtedly took inspiration from the Saint John the Baptist now in the Louvre, which is certainly by Leonardo, but there are some substantial differences: the cross that appears in the original is missing and the figure, which Leonardo sets against a dark background, is shown here with effeminate, almost affected features in an idyllic landscape."
Christ Crowned with Thorns,Bernardino Luini (1480-1532),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bernardino-Luini-Incoronazione-di-spine-affresco-1024x637.jpg,ambrosiana_images/Christ_Crowned_with_Thorns.jpg,,1522,Fresco,,420 × 714 cm,Sacred art,,Aula Leonardi,"The architecture of the Aula Leonardi is dominated by a majestic fresco by one of Leonardo da Vinci’s most mature and original followers, Bernardino Luini. The subject of this mural painting is clearly explained by the cartouche at the top of the central bay, which bears the title of the work itself: Caput regis gloriae spinis coronatur (“The Head of the King of Glory Crowned with Thorns”). The scene is divided into three distinct parts. At the centre, Christ is wearing a scarlet mantle and holding a cane as though it were a sceptre, and he appears to be seated on a sort of throne. His wrists are tied by a rope and on his head he wears a crown of thorns. He is surrounded by several soldiers who insult and mock him with strange grimaces, while two of them, who are closest to him, look as though they intend to beat on the crown of thorns with sticks, to press it deeper into his flesh. The two sides, on the other hand, show the twelve members of the Confraternita di Santa Corona, who commissioned the fresco from Bernardino Luini. There are six on each side, kneeling and wrapped in heavy black cloaks. Before it was taken over by the Ambrosiana, this hall was the chapter house of the confraternity, which was named after the Holy Crown of Christ and devoted to charitable work."
The Adoration with Saint Roch,Gian Pietro Rizzoli detto Giampietrino (1508-1549),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Gian-Pietro-Rizzoli-detto-Giampietrino-Adorazione-del-Bambino-con-San-Rocco-807x1024.jpg,ambrosiana_images/The_Adoration_with_Saint_Roch.jpg,,c. 1523 - 1524,Painting,,150 × 120 cm,Sacred art,,3,"This Leonardesque panel comes from the church of San Sepolcro, which is now an integral part of the Veneranda Biblioteca Ambrosiana. Putti musicians cheer the Infant Jesus and Saint Roch joins in the adoration of the Child. The saint is identified by his pilgrim staff and cape, by the wound on his leg caused by the plague, and by the dog with the loaf. Since the saint was particularly invoked during times of plague, it might be reasonable to think that the painting is somehow linked to the great epidemic that struck Milan between 1524 and 1529."
The infant Jesus with a Lamb,Bernardino Luini (1480-1532),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bernardino-Luini-Gesu-Bambino-con-l-agnello-900x1024.jpg,ambrosiana_images/The_infant_Jesus_with_a_Lamb.jpg,,c. 1525,Painting,,28 × 25 cm,Sacred art,,1,"This delightful panel is certainly striking for its mastery of technique and for its ability to express the tenderness of the Infant Jesus in his delicate embrace of the lamb. From an iconographic point of view, the presence of the lamb may refer to the Passion (Jesus as the Lamb of God, whose immolation on the cross redeems all creation) or to Jesus the Good Shepherd, as described in the tenth chapter of the Gospel of John (“I am the good shepherd”)."
"The Holy Family with Sain John, Tobias and the Archangel Raphael",Bonifacio Veronese (1487-1553),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bonifacio-Veronese-Santa-Famiglia-con-san-Giovanni-Tobia-e-l-arcangelo-Raffaele-1024x805.jpg,"ambrosiana_images/The_Holy_Family_with_Sain_John,_Tobias_and_the_Archangel_Raphael.jpg",,c. 1525 - 1527,Painting,,116 × 152 cm,Sacred art,,1,"Painted between 1525 and 1527, the artwork is striking for the immense gentleness with which Saint Joseph holds the infant Jesus, playind delicately with his foot, and for the tender look of Mary, passing a fruit to her husband, as though wishing to give him sustenance during the flight to Egypt. In the scene we see the young Saint John the Baptist, who is identified by his camel skin, together with the Archangel Raphael and Tobias, who is identified by the fish, from which he extracted the gall to cure his father’s blindness, as told in the Book of Tobit."
Portrait of Bernardino da Lesmo,Bartolomeo Veneto (1502-1530),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bartolomeo-Veneto-Ritratto-di-Bernardino-da-Lesmo-686x1024.jpg,ambrosiana_images/Portrait_of_Bernardino_da_Lesmo.jpg,,c. 1529,Painting,,90 × 60 cm,Portrait,,12,"Formerly attributed to none other than Leonardo, this painting should in fact be considered as one of the finest portraits by Bartolomeo Veneto: as we see in the folded scroll in the sitter’s hand, this is Bernardino da Lesmo, master of the house to Count Girolamo Moroni. The painting is noteworthy for its attention to detail: the white shirt, the lace protruding from the sleeves, the three rings on the left hand, the right hand resting on the hilt of a dagger, and the sumptuous drapery that forms the backdrop."
The Holy Family with Saint John the Baptist,Ubertini Francesco detto Bachiacca (1494-1557),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ubertini-Francesco-detto-Bachiacca-Sacra-Famiglia-con-San-Giovannino-744x1024.jpg,ambrosiana_images/The_Holy_Family_with_Saint_John_the_Baptist.jpg,,c. 1530 - 1540,Painting,,122 × 90 cm,Sacred art,,10,"Bachiacca was a Florentine Mannerist painter who probably trained in the school of Perugino. This panel, which shows the influence of Leonardo, Andrea del Sarto and Fra Bartolomeo, contains a wealth of botanical symbolism: the Baby Jesus shows John the Baptist a pomegranate, a sign of his future Passion; the Precursor’s cross lies between two columbine flowers, indicating his future martyrdom; on the right of the Virgin we see her attribute, dog roses, and behind Joseph a thriving pomegranate tree announces the future flourishing of the Church; lastly the little wild strawberry flowers recall the mystery of the Incarnation."
The Madonna and Child with Saint Peter and Saint Jerome,Cesare Magni (1511-1534),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Cesare-Magni-Madonna-con-il-Bambino-tra-San-Pietro-e-San-Girolamo-771x1024.jpg,ambrosiana_images/The_Madonna_and_Child_with_Saint_Peter_and_Saint_Jerome.jpg,,1530,Painting,,145 × 110 cm,Sacred art,,3,"Elements of Leonardo combine in this lovely panel with classical forms inspired by Raphael. The Madonna is shown holding the Child in the company of Saint Peter and Saint Jerome. The former is identified by the keys in his right hand (“And I will give to thee the keys of the kingdom of heaven”, Jesus said to him, as we read in the Gospel of Matthew, 1:19), while the latter is shown dressed as a cardinal, in a very ancient and frequent iconographic form."
Man in Armour,Tiziano Vecellio (1480-1576),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Tiziano-Vecellio-Uomo-in-Armatura-920x1024.jpg,ambrosiana_images/Man_in_Armour.jpg,,c. 1530,Painting,,65 × 58cm,Portrait,,1,"In his Musaeum Federico Borromeo writes that “Titian would have wanted to paint his father like this, armour-clad, to celebrate in a playful manner the nobility he claimed to have acquired though such offspring”. This would therefore make the portrait that of Gregorio Vecellio, Captain of the Centuria of Pieve di Cadore and the painter’s father."
